Title,Aircraft_Type,Registration,Flight_Number,Incident_Date,Location,Origin,Destination,Cause,Incident_Type,Published_Date,Description
"Indigo A20N at Jaipur on Jun 22nd 2019, engine shut down in flight due to suspected fuel leak",A20N,VT-IVK,6E-998,Jun 22nd 2019,Jaipur,Mumbai,Jaipur,engine shut down in flight due to suspected fuel leak,Incident,"Jun 24, 2019","An Indigo Airbus A320-200N, registration VT-IVK performing flight 6E-998 from Mumbai to Jaipur (India), was descending towards Jaipur when the crew…"
"Indigo A21N at Bangalore on Jun 21st 2019, magnetic chip detector indication",A21N,VT-IUD,6E-2031,Jun 21st 2019,Bangalore,Delhi,Bangalore,magnetic chip detector indication,Incident,"Jun 24, 2019","An Indigo Airbus A321-200N, registration VT-IUD performing flight 6E-2031 from Delhi to Bangalore (India), reached the top of descent into Bangalore…"
"Indigo A20N at Jaipur on Apr 1st 2019, engine stall",A20N,VT-IVB,6E-914,Apr 1st 2019,Jaipur,Jaipur,Hyderabad,engine stall,Incident,"Apr 19, 2019","An Indigo Airbus A320-200N, registration VT-IVB performing flight 6E-914 from Jaipur to Hyderabad (India), was climbing through FL160 out of Jaipur…"
"Indigo A20N at Pune on Apr 2nd 2019, engine problem",A20N,VT-ITG,6E-134,Apr 2nd 2019,Pune,Pune,Nagpur,engine problem,Incident,"Apr 19, 2019","An Indigo Airbus A320-200N, registration VT-ITG performing flight 6E-134 from Pune to Nagpur (India), was climbing through FL180 when the crew…"
"Indigo A20N at Delhi on Apr 9th 2019, engine vibrations",A20N,VT-ITB,6E-155,Apr 9th 2019,Delhi,Delhi,Mumbai,engine vibrations,Incident,"Apr 12, 2019","An Indigo Airbus A320-200N, registration VT-ITB performing flight 6E-155 from Delhi to Mumbai (India), was climbing out of Delhi's runway 09 when the…"
"Indigo A20N at Mumbai on Jan 21st 2017, rejected takeoff due to engine failure",A20N,VT-ITF,6E-248,Jan 21st 2017,Mumbai,Mumbai,Delhi,rejected takeoff due to engine failure,Incident,"Mar 14, 2019","An Indigo Airbus A320-200N, registration VT-ITF performing flight 6E-248 from Mumbai to Delhi (India) with 165 passengers and 6 crew, was…"
"Indigo A20N at Lucknow on Jan 21st 2019, engine vibrations",A20N,VT-ITQ,4E-651,Jan 21st 2019,Lucknow,Lucknow,Jaipur,engine vibrations,Incident,"Feb 27, 2019","An Indigo Airbus A320-200N, registration VT-ITQ performing flight 4E-651 from Lucknow to Jaipur (India), was climbing out of Lucknow when the crew…"
"Indigo A20N at Chennai on Jan 3rd 2019, engine shut down in flight",A20N,VT-ITW,6E-923,Jan 3rd 2019,Chennai,Chennai,Kolkata,engine shut down in flight,Incident,"Feb 27, 2019","An Indigo Airbus A320-200 Neo, registration VT-ITW performing flight 6E-923 from Chennai to Kolkata (India) with 136 people on board, was climbing…"
"Indigo A320 near Yangon on Feb 12th 2019, engine shut down in flight",A320,VT-IHX,6E-75,Feb 12th 2019,Yangon,Bangalore,Bangkok,engine shut down in flight,Incident,"Feb 12, 2019","An Indigo Airbus A320-200, registration VT-IHX performing flight 6E-75 from Bangalore (India) to Bangkok (Thailand) with 129 people on board, was…"
"Indigo A320 near Ahmedabad on Jan 1st 2019, smoke in cockpit and cabin",A320,VT-INY,6E-6373,Jan 1st 2019,Ahmedabad,Delhi,Ahmedabad,smoke in cockpit and cabin,Incident,"Jan 2, 2019","An Indigo Airbus A320-200, registration VT-INY performing flight 6E-6373 from Delhi to Ahmedabad (India), was descending towards Ahmedabad when smoke…"
"Indigo A20N at Port Blair on Dec 23rd 2018, engine problem",A20N,VT-ITE,6E-6616,Dec 23rd 2018,Port Blair,Port Blair,Kolkata,engine problem,Incident,"Dec 27, 2018","An Indigo Airbus A320-200 Neo, registration VT-ITE performing flight 6E-6616 from Port Blair to Kolkata (India), was climbing out of Port Blair when…"
"Indigo A20N at Kolkata on Dec 10th 2018, smoke on board",A20N,VT-ITR,6E-237,Dec 10th 2018,Kolkata,Jaipur,Kolkata,smoke on board,Incident,"Dec 21, 2018","An Indigo Airbus A320-200N, registration VT-ITR performing flight 6E-237 from Jaipur to Kolkata (India) with 136 people on board, was descending…"
"Indigo A320 at Kochi on Nov 12th 2018, hydraulic failure",A320,VT-IHF,6E-6468,Nov 12th 2018,Kochi,Kochi,Hyderabad,hydraulic failure,Incident,"Nov 13, 2018","An Indigo Airbus A320-200, registration VT-IHF performing flight 6E-6468 from Kochi to Hyderabad (India), was climbing out of Kochi when after…"
"Indigo AT72 at Chennai on Nov 4th 2018, engine failure on short final",AT72,VT-IYF,6E-7124,Nov 4th 2018,Chennai,Rajahmundry,Chennai,engine failure on short final,Incident,"Nov 5, 2018","An Indigo Avions de Transport Regional ATR-72-212A, registration VT-IYF performing flight 6E-7124 from Rajahmundry to Chennai (India) with 47…"
"Indigo A20N at Bangalore on Oct 8th 2018, engine shut down in flight",A20N,VT-IVB,6E-452,Oct 8th 2018,Bangalore,Bangalore,Ahmedabad,engine shut down in flight,Incident,"Oct 11, 2018","An Indigo Airbus A320-200N, registration VT-IVB performing flight 6E-452 from Bangalore to Ahmedabad (India) with 170 people on board, was climbin…"
"Indigo A320 at Hyderabad on Oct 9th 2018, rejected takeoff due to runway incursion",A320,,,Oct 9th 2018,Hyderabad,,,rejected takeoff due to runway incursion,,,
"Indigo A320 near Chennai on Sep 22nd 2018, hydraulic failure",A320,VT-INS,6E-3326,Sep 22nd 2018,Chennai,Kolkata,Chennai,hydraulic failure,Incident,"Sep 24, 2018","An Indigo Airbus A320-200, registration VT-INS performing flight 6E-3326 from Kolkata to Chennai (India), was on approach to Chennai when the crew…"
"Indigo A320 at Mumbai on Sep 19th 2018, burst tyre on departure",A320,VT-IHR,6E-361,Sep 19th 2018,Mumbai,Mumbai,Ahmedabad,burst tyre on departure,Incident,"Sep 19, 2018","An Indigo Airbus A320-200, registration VT-IHR performing flight 6E-361 from Mumbai to Ahmedabad (India) with 185 people on board, departed Mumbai's…"
"Indigo A320 near Varanasi on Aug 30th 2018, cargo smoke indication",A320,VT-IHN,6E-832,Aug 30th 2018,Varanasi,Kolkata,Jaipur,cargo smoke indication,Incident,"Sep 1, 2018","An Indigo Airbus A320-200, registration VT-IHN performing flight 6E-832 from Kolkata to Jaipur (India) with 84 passengers, was enroute at FL380 about…"
